BR ID,Business Requirement,FR/NFR ID(s),Test Case ID(s),Edge Case ID(s),Status,Defect ID(s)
BR-01,Read-only least-privilege DB connection,"FR-101, FR-102, NFR-201, NFR-206, NFR-207","TC-001, TC-002, TC-003, TC-020-TC-030",EC-001,Executed (deterministic-track + live Postgres integration - verified SELECT works and INSERT is denied for the real dq_audit_reader role),DEF-001 (found & fixed)
BR-02,On-demand schema inspection and audit from the UI,"FR-110, FR-111, FR-112, FR-124","TC-010-TC-014, TC-046, TC-080-TC-084",EC-006,Executed (deterministic-track + live Postgres integration + manual UI),DEF-003 (found & fixed)
BR-03,Scored data quality dimensions,"FR-120, FR-121, FR-123","TC-040-TC-048",-,Executed (deterministic-track + live Postgres integration - profile_table/check_duplicates/check_referential_integrity all verified against real fixtures with exact golden-value matches); eval-track (agent judgment via a real model call) still blocked - no API key in build environment,"DEF-003, DEF-004 (both found & fixed)"
BR-04,PII detection without exposing raw values,"FR-130, FR-131, NFR-204","TC-050-TC-058",EC-001,Executed (deterministic-track + unit + live Postgres integration - detect_pii and run_readonly_query masking verified against real data with zero raw-value leaks); eval-track (agent judgment) still blocked - no API key,
BR-05,Every finding traceable to evidence,FR-122,TC-047,-,Executed (schema-validated via app/agent.py::validate_findings),
BR-06,Append-only audit trail of every agent action,"FR-140, FR-141, FR-142, NFR-208","TC-060-TC-066, TC-088",EC-004,Executed (deterministic-track),
BR-07,"Hard-enforced governance limits (SELECT-only, row cap, timeout, allowlist)","FR-103, NFR-201, NFR-202, NFR-207","TC-004-TC-006, TC-020-TC-030",EC-001,Executed (deterministic-track + live Postgres integration - schema allowlist rejection verified live),DEF-001 (found & fixed)
BR-08,"Versioned, testable rubrics gating release",eval/rubrics.yaml release_gate,eval fixtures (see 12-eval-rubrics/),-,Scoring framework built and unit-tested; underlying tool-level results now verified correct against live data (see BR-03); full live-model eval run not yet executed - blocked on API key,
BR-09,MCP server standalone/reusable,"FR-150, FR-151","TC-070-TC-072",-,Executed (server verified standalone + via a real MCP client session),
BR-10,Downloadable audit-ready report,FR-143,TC-064,-,Executed (manual UI + code review),
